Id,VesselName,SenderName,SenderCountry,TrustedSender,RecipientName,RecipientCountry,TrustedRecipient,DeclaredContentType,OriginInspected,OriginScanned,Weight,Storaged,LeadTime,Contraband
WYTP3922201,Fugiat Aut,Devkota - Dongol,Romania,False,"毛, 潘 and 傅",Germany,True,Produce,False,False,12892,6,69
KBGM2382915,Dolor Cumque,Ngọc Hà Đỗ,Ukraina,False,"Nguyen, Olstad and Fredriksen",Jordan,False,Household,False,False,12538,8,44
VLTP7743545,Animi Iure,Krasnova S.L.,Reino Unido,True,于 - 邵,Bahrain,False,Food,False,False,10268,17,17
SQTI5847112,Voluptatum Fugiat,鴻煊 馮,Gibraltar,False,Delaney Littel,Guinea-Bissau,True,Food,False,False,8617,18,30
DCGD0357755,Sapiente Impedit,Elwira Markowski,Jamajka,True,大和 山本,Haiti,True,Electronics,False,False,11841,0,16
KXLP3119927,Aut Voluptas,Hartmann - Evans,Andorra,False,"熊, 戴 and 田",Bulgaria,False,Electronics,False,False,12598,5,22
KIOG6433590,Est Ad,胡 - 邱,Guinea,True,Krishna Ghale,Netherlands Antilles,True,Household,False,False,13725,0,118
TFAX3280831,Ex Sit,Odunayo - Saheed,Denmark,False,Bergstrom - Wisozk,Guyana,False,Household,False,False,8964,2,1
QTND3068695,Et Qui,지후 홍,Antigua and Barbuda,True,Городоцький Постач,Таїланд,False,Manufacturing,False,False,14610,8,78
EKUV2810824,Ut Autem,"Dương, Lê and Ngô",Israel,True,Luuk Koning,Noorwegen,False,Food,False,False,6519,0,105
PBMW5008412,Qui Voluptas,"Trịnh, Nguyễn and Đoàn",Nhật Bản,False,إيهاب - معروف,Turkey,False,Household,False,False,13058,11,64
ERRK7396711,Pariatur Doloremque,지민 임,Western Sahara,True,Bartell Brothers,United Kingdom,False,Household,False,False,14454,9,57
LTHZ4583427,Ea Nihil,"伊藤, 井上 and 斎藤",Malaysia,True,Goldner and Sons,Burundi,True,Food,False,False,13840,21,109
NKJV7672142,Nulla Facilis,史 - 徐,Christmas Island,False,Poppy Parker,Jordan,False,Vehicles,False,False,14908,22,87
QZOB3840793,Nam Rerum,Berríos S.L.,Honduras,True,大和 田中,Vietnam,False,Household,False,False,5528,25,95
XTJG5983666,Labore Sint,林 LLC,New Caledonia,True,Olga Kovacek,Anguilla,False,Electronics,False,False,9197,16,75
JHNF2193981,Eveniet Ipsa,俊驰 阎,Iraq,False,Kanea Hermanos,Bélgica,True,Produce,False,False,14068,19,62
KKVK3914263,Laboriosam Qui,"장, 강 and 서",Guadeloupe,False,Abigail Walker,Turkey,False,Produce,False,False,10104,27,9
QUXV8244568,Quos Impedit,Trương LLC,Tanzania,False,哲瀚 赵,New Zealand,True,Electronics,False,False,14005,27,41
ZPQV3690712,Nisi Rerum,"Phan, Lý and Đoàn",Palestine,True,Körmükçü - Karaer,Kiribati,False,Produce,False,False,14742,8,97
WPQK4822821,Error Qui,笑愚 孟,Gambia,False,Padmi Rahimah,Denmark,False,Manufacturing,True,True,12651,26,83
OGHE7180737,Ratione Vitae,明輝 謝,Uruguay,False,Đinh Group,Israel,False,Food,False,False,14871,11,107
VLEC0820379,Voluptatem Dolor,瑾瑜 石,Pakistan,False,澤洋 鄧,Switzerland,False,Produce,False,False,13594,17,54
IGQB0708866,Sapiente Explicabo,Vyas Nayar,Congo,False,"Phan, Trịnh and Đào",Thổ Nhĩ Kỳ,False,Household,False,False,5751,7,120
PAMQ0976101,Dignissimos Ullam,"Breitenberg, Kub and Walsh",Turkey,True,Maharjan Limited,Aruba,False,Household,False,False,13405,17,112
QJXE9547475,Possimus Tempora,수빈 신,Saint Helena,False,예은 안,Nauru,True,Manufacturing,False,True,6858,12,28
TOYF8366831,Est Reprehenderit,Lý - Đinh,Nepal,False,Asmita Shakya,Zambia,False,Vehicles,False,False,13475,2,22
PNXZ5785429,Laboriosam Hic,余 Group,Congo,True,雨澤 孫,Iran,False,Vehicles,False,False,8500,28,56
WUIJ1749218,Aut Aspernatur,홍 - 강,Iran,False,皓軒 杜,Christmas Island,False,Electronics,False,False,7338,13,28
FXWC5697739,Rerum Vel,大和 佐藤,Kuwait,False,현우 오,Uzbekistan,False,Food,False,False,8487,14,64
EAHF0224601,Similique Vel,임 그룹,Thailand,False,Edvīns Šteins,Maurīcija,False,Food,False,False,12949,22,63
KGTX3604699,Dolor Nesciunt,覃 Inc,Hong Kong,False,"Nguyễn, Đặng and Trịnh",Cộng hòa Dominica,True,Vehicles,False,False,7699,10,27
SXVV0178657,Et Dolorum,류 - 안,Cyprus,False,Meldere - Širovs,Norvēģija,True,Produce,False,False,6965,27,24
XORN1573498,Officiis Nam,Adheesh Pillai,Nepal,False,지우 서,Finland,False,Household,False,False,7452,15,110
TYWC8912437,Vero Porro,Sunita Magar,Mozambique,False,徐 - 郭,Iceland,True,Produce,False,False,13566,19,14
